application,date,country_of_origin,panel_members,outcome,protected_grounds,based_violence,keywords,references,sex_of_applicant
,2018-06-26,,Ana Landazabal Mann,grant,,,,,female
,2018-03-07,Cuba,Hugh Mullane; Michael J. Creppy; Garry D. Malphrus; Philip J. Montante Jr.,terminate,,,,,male
,2017-06-27,,Charles Adkins-Blanch,grant,,,,,male
,2018-10-09,Georgia,Anne J. Greer,dismiss,,,,,male
,2018-10-09,Mexico,Philip J. Montante Jr.,sustain,,,,,male
,2018-09-14,El Salvador,Anne J. Greer,grant,,gang-based; family-based,gang; family; daughter,,female
asylum; withholding_of_removal; CAT,2018-04-16,Cuba,Anne J. Greer,remand,,,,,male
,2018-11-07,Dominican Republic,Ellen Liebowitz; Michael J. Creppy; Gabriel Gonzalez; Hugh Mullane,grant,,family-based,woman,,male
,2018-10-30,China,Gabriel Gonzalez,deny,,,,,male
,2018-12-26,,Charles Adkins-Blanch; Joan B. Geller,remand,,,,,female
,2018-01-31,Haiti,Charles Adkins-Blanch; Edward F. Kelly,deny,,,,,male
CAT,2018-09-27,El Salvador,Garry D. Malphrus,remand,,,,"Matter of AB, 27 I&N Dec. 316 (A.G. 2018)",male
,2018-05-11,Iraq,Charles Adkins-Blanch,remand,,,,,male
,2018-02-28,Guatemala,Edward F. Kelly,dismiss,,,,,male
,2018-11-01,Guam,Ana Landazabal Mann; Edward F. Kelly,remand,,,,,male
,2018-09-05,Cuba,Anne J. Greer,remand,,,,,male
,2016-12-13,India,Edward R. Grant,remand,nationality,,,,male
,2018-01-26,Dominican Republic,Edward F. Kelly; Blair O'Connor,remand,nationality,,,,male
,2018-05-25,Guatemala,Charles Adkins-Blanch; Edward F. Kelly,,,,,,female
,2018-10-04,Sudan,Joan B. Geller,,nationality,,,,male
,2018-07-03,,Gabriel Gonzalez,terminate,,,,,male
,2018-06-21,China,Ellen Liebowitz; Garry D. Malphrus,sustain,,,,,female
,2018-10-31,,Charles Adkins-Blanch,dismiss,,,,,male
,2018-10-30,Mexico,Ana Landazabal Mann,remand,,,,,male
,2018-08-31,El Salvador,Charles Adkins-Blanch; Ana Landazabal Mann,terminate,,,,,male
asylum; withholding_of_removal; CAT,2018-10-26,Colombia,Anne J. Greer; Gabriel Gonzalez,remand,social; nationality,family-based,family,"Matter of AB, 27 I&N Dec. 316 (A.G. 2018)",male
,2018-07-25,,Sirce E. Owen,remand,,,,,male
,2018-05-03,Mexico,Ellen Liebowitz,,,,,,male
,2018-08-15,South Sudan,Charles Adkins-Blanch; Edward F. Kelly,remand,,,,,male
,2018-10-09,,Charles Adkins-Blanch; Joan B. Geller,remand,,,,,female
,2018-12-28,Jamaica,Ellen Liebowitz; Hugh Mullane,terminate,,,,,male
,2018-07-23,Honduras,Gabriel Gonzalez,remand,,,,,male
,2018-04-09,Togo,Charles Adkins-Blanch; Edward F. Kelly,remand,,,,,male
,2018-04-27,Mexico,Charles Adkins-Blanch; Edward F. Kelly,sustain,,,,,male
asylum; withholding_of_removal; CAT,2018-07-27,Cameroon,Blair O'Connor,remand,social; political,,,,male
,2018-01-05,Mexico,Ana Landazabal Mann; Edward F. Kelly,terminate,,,,,male
,2018-02-02,,Anne J. Greer,sustain,,,,,female
,2018-06-26,Mexico,Charles Adkins-Blanch,sustain,,,,,female
,2018-07-26,,Edward F. Kelly; Ana Landazabal Mann,remand,,,,,male
,2018-05-03,Mexico,Charles Adkins-Blanch,remand,,,,,male
,2018-09-14,Sierra Leone,Keith E. Hunsucker; Anne J. Greer,sustain,nationality,,,,male
,2018-05-25,Guatemala,Charles Adkins-Blanch,remand,nationality,,,,female
,2018-05-03,Mexico,Keith E. Hunsucker; Garry D. Malphrus; Hugh Mullane,sustain,,family-based,child,,unkown
,2018-02-12,El Salvador,William A. Cassidy,remand,,,,,female
,2018-04-24,Mexico,Ana Landazabal Mann,sustain,,,,,male
,2018-04-17,Mauritania,Edward F. Kelly,sustain,nationality,,,,male
,2018-05-02,,Edward F. Kelly,remand,,,,,male
,2018-08-21,Mexico,Anne J. Greer,sustain,,,,,male
,2018-02-16,,Charles Adkins-Blanch; Edward F. Kelly,remand,,,,,male
,2018-12-07,El Salvador,Blair O'Connor,dismiss,,gang-based,gang,,male
,2018-12-13,,Ellen Liebowitz,remand,,,,,male
,2018-07-30,Nicaragua,Charles Adkins-Blanch,sustain,,,,,male
CAT,2018-05-18,Brazil,Ellen Liebowitz; Joan B. Geller; Garry D. Malphrus,dismiss,,,,,male
,2018-08-01,Mexico,Charles Adkins-Blanch; Ana Landazabal Mann,remand,,,,,male
,2018-01-26,Mexico,Ellen Liebowitz; Michael J. Creppy; Garry D. Malphrus; Hugh Mullane,grant,,,,,male
,2018-10-25,El Salvador,Gabriel Gonzalez,remand,,,,,male
,2018-07-26,Mexico,Charles Adkins-Blanch; Edward F. Kelly,grant,,,,,male
,2018-09-11,Mexico,Edward R. Grant,remand,,,,,female
,2018-11-07,China,Charles Adkins-Blanch; Ana Landazabal Mann,sustain,,,,,male
,2018-02-26,India,Charles Adkins-Blanch,sustain,,,,,male
,2018-11-01,Mexico,Joan B. Geller,sustain,,,,,male
,2018-07-12,Ghana,Edward R. Grant,grant,,,,,male
,2018-10-04,Mexico,Blair O'Connor; Anne J. Greer,dismiss,,,,,male
,2018-09-11,Mexico,Charles Adkins-Blanch; Philip J. Montante Jr.,remand,,,,,male
,2018-09-04,Mexico,Michael J. Creppy; Garry D. Malphrus; Hugh Mullane,remand,nationality,,,,male
,2018-01-12,Mexico,Charles Adkins-Blanch; Edward R. Grant; Garry D. Malphrus,sustain,,family-based,son,,male
,2018-02-08,Mali,Charles Adkins-Blanch; Edward R. Grant; Garry D. Malphrus,sustain,,,,,male
,2018-07-30,Liberia,Earle B. Wilson,grant,,,,,male
,2018-08-13,,Charles Adkins-Blanch; Edward F. Kelly,sustain,,,,,female
,2018-01-19,Micronesia,Anne J. Greer; Hugh Mullane,sustain,,,,,male
,2018-06-13,Guatemala,Charles Adkins-Blanch,remand,,,,,male
,2018-08-30,,Edward F. Kelly; Joan B. Geller,sustain,nationality,,,,female
,2018-10-29,,Ana Landazabal Mann,dismiss,,,,,male
,2018-10-10,El Salvador,Anne J. Greer; Gabriel Gonzalez,remand,,,,,female
,2018-05-25,El Salvador,Charles Adkins-Blanch,remand,,,,,male
,2018-01-23,Mexico,Anne J. Greer,remand,,,,,male
,2018-04-25,Honduras,Anne J. Greer,grant,,,,,male
,2018-08-10,,Charles Adkins-Blanch; Edward F. Kelly,remand,,,,,male
,2018-09-14,Honduras,Charles Adkins-Blanch,sustain,,,,,female
,2018-10-22,Ghana,Charles Adkins-Blanch; Edward F. Kelly; Joan B. Geller,sustain,,,,,male
,2018-06-06,,Edward F. Kelly,dismiss,,,,,male
,2018-01-25,El Salvador,Charles Adkins-Blanch; Edward F. Kelly,remand,,,,,male
,2018-02-22,Mexico,Charles Adkins-Blanch; Edward F. Kelly,remand,,,,,male
,2018-04-11,Mexico,Charles Adkins-Blanch; Ana Landazabal Mann,sustain,,,,,male
,2018-11-30,Mexico,Edward F. Kelly,dismiss,,,,,male
,2017-10-29,,Michael J. Creppy; Joan B. Geller; Garry D. Malphrus,remand,,,,,female
,2018-01-16,Honduras,Anne J. Greer; Garry D. Malphrus; Hugh Mullane,deny,nationality,,,,male
,2018-11-23,El Salvador,Anne J. Greer,remand,,,,,female
,2018-08-10,Mexico,Edward F. Kelly,remand,,family-based,child,,male
asylum; withholding_of_removal; CAT,2018-05-22,Honduras,Anne J. Greer; Gabriel Gonzalez,,social,,,,female
,2018-02-20,Mexico,Anne J. Greer,remand,,,,,male
asylum; withholding_of_removal; CAT,2018-07-18,Iraq,Anne J. Greer,sustain,,,,,male
,2018-03-30,Mexico,Charles Adkins-Blanch; Edward F. Kelly,return,,,,,female
,2018-12-17,Honduras,Blair O'Connor,dismiss,,,,,unkown
,2018-05-15,Honduras,Charles Adkins-Blanch; Edward F. Kelly,sustain,,,,,male
,2018-08-21,,Ana Landazabal Mann; Edward F. Kelly,sustain,,,,,male
,2018-04-23,Jordan,Ana Landazabal Mann,remand,,,,,male
,2018-06-28,,Edward F. Kelly,dismiss,,,,,male
asylum; withholding_of_removal; CAT,2018-07-12,Mexico,Sirce E. Owen; Gabriel Gonzalez,sustain,,,,,male
,2018-01-31,Honduras,Anne J. Greer,remand,,,,,male
,2018-03-01,,Anne J. Greer,sustain,,,,,male
,2018-10-10,Kazakhstan,Anne J. Greer,dismiss,,,,,male
,2018-01-22,Somalia,Blair O'Connor,remand,nationality,,,,male
,2018-10-05,Guam,Charles Adkins-Blanch; Ana Landazabal Mann; Garry D. Malphrus,remand,,,,,female
,2018-01-04,Jamaica,Edward R. Grant,deny,,,,,male
,2018-05-02,El Salvador,V. Stuart Couch; Blair O'Connor,remand,,,,,female
,2018-05-09,Guatemala,Edward F. Kelly,sustain,,,,,male
asylum; withholding_of_removal; CAT,2018-12-18,,Ana Landazabal Mann; Michael J. Creppy; Gabriel Gonzalez,,,,,,male
,2018-09-26,Colombia,Ellen Liebowitz; Keith E. Hunsucker; Michael J. Creppy,remand,,,,,male
,2018-09-04,Mexico,Ana Landazabal Mann,dismiss,,,,,male
,2018-11-16,,Edward R. Grant,remand,,,,,male
,2018-12-20,India,Joan B. Geller; Philip J. Montante Jr.,sustain,,,,,male
,2018-11-07,Peru,Anne J. Greer,remand,,,,,male
,2017-09-28,Guatemala,Charles Adkins-Blanch; Edward F. Kelly,remand,,,,,female
,2018-08-30,,Keith E. Hunsucker; Michael J. Creppy; Garry D. Malphrus,remand,,,,,male
,2018-12-10,Mexico,Charles Adkins-Blanch; Joan B. Geller,remand,,,,,male
,2018-02-02,Guam,Michael J. Creppy; Gabriel Gonzalez,terminate,,,,,male
,2018-01-22,Peru,Ana Landazabal Mann; Philip J. Montante Jr.,remand,,,,,male
,2018-05-31,Peru,Blair O'Connor,remand,,,,,female
,2018-10-29,,Anne J. Greer,remand,,,,,male
,2018-08-14,Nigeria,Gabriel Gonzalez; Ellen Liebowitz; Joan B. Geller; Michael J. Creppy,remand,,family-based,child,,male
,2018-10-31,Peru,Michael J. Creppy; Garry D. Malphrus; Hugh Mullane,grant,,,,,male
,2018-10-29,,Edward R. Grant,grant,,,,,male
,2018-11-09,Mexico,Edward F. Kelly; Joan B. Geller; Gabriel Gonzalez,sustain,,,,,male
asylum,2018-10-12,Honduras,Ellen Liebowitz; Garry D. Malphrus; Hugh Mullane,remand,,,,,male
,2018-02-09,Philippines,Charles Adkins-Blanch; Edward F. Kelly; Edward R. Grant,deny,,,,,male
,2018-05-11,Mexico,Charles Adkins-Blanch; Edward R. Grant,remand,,family-based,child,,male
,2018-03-08,El Salvador,Edward F. Kelly,remand,,,,,male
,2018-10-15,Nicaragua,Anne J. Greer,terminate,,,,,male
,2018-06-27,Somalia,Ellen Liebowitz; Garry D. Malphrus; Hugh Mullane,dismiss,,,,"Matter of AB, 27 I&N Dec. 316 (A.G. 2018)",male
,2018-11-13,Mexico,Charles Adkins-Blanch; Joan B. Geller,sustain,,,,,male
,2018-07-27,India,Charles Adkins-Blanch; Edward F. Kelly,sustain,,,,,male
,2018-10-11,Iraq,Charles Adkins-Blanch; Garry D. Malphrus; Hugh Mullane,dismiss,,,,,male
,2018-07-30,Mexico,Anne J. Greer,remand,,family-based,wife; daughter,,male
,2018-08-06,,Ellen Liebowitz; Michael J. Creppy; Joan B. Geller,remand,,,,,male
,2018-01-19,Mexico,Anne J. Greer,dismiss,,family-based,child; family,,male
,2018-12-21,Mexico,Anne J. Greer,remand,,,,,male
,2018-10-30,Guatemala,Garry D. Malphrus; Hugh Mullane,sustain,,,,,male
,2018-12-31,Thailand,Charles Adkins-Blanch; Ellen Liebowitz; Joan B. Geller,remand,,,,,male
,2018-02-08,Guatemala,Ana Landazabal Mann,deny,nationality,,,,male
,2018-05-09,Australia,Edward F. Kelly,grant,,,,,male
,2018-01-03,Mexico,Charles Adkins-Blanch,remand,,family-based,child; parent,,male
withholding_of_removal; CAT,2017-07-14,Mexico,Charles Adkins-Blanch,grant,social,family-based; gang-based,family; gang,"Matter of L-E-A-, 27 I&N Dec. 581 (A.G. 2019)",male
asylum; withholding_of_removal; CAT,2018-03-23,Democratic Republic of the Congo,Anne J. Greer,remand,nationality,family-based,son; daughter,,female
,2018-10-09,Venezuela,Edward R. Grant,grant,,,,,unkown
,2018-07-12,,Charles Adkins-Blanch; Edward F. Kelly,sustain,,,,,male
,2018-06-21,Mexico,Anne J. Greer,remand,,family-based,child,,male
asylum; withholding_of_removal; CAT,2018-09-13,Nicaragua,Anne J. Greer,remand,,,,,male
,2018-08-14,Venezuela,Charles Adkins-Blanch; Ana Landazabal Mann,sustain,,,,,male
,2018-12-12,India,Ana Landazabal Mann; Joan B. Geller,sustain,,,,,male
asylum; withholding_of_removal; CAT,2018-11-08,El Salvador,Charles Adkins-Blanch,remand,social; political,gang-based; family-based,gang; family,"Matter of L-E-A-, 27 I&N Dec. 581 (A.G. 2019)",male
,2018-01-18,Mexico,Charles Adkins-Blanch; Ana Landazabal Mann; Edward R. Grant,remand,,,,,unkown
,2018-08-28,Honduras,Ana Landazabal Mann; Edward F. Kelly,sustain,,,,,female
,2018-10-18,China,Charles Adkins-Blanch; Edward F. Kelly,sustain,,,,,male
,2018-08-10,Mexico,Ana Landazabal Mann,sustain,,,,,male
,2018-01-05,Mexico,Charles Adkins-Blanch; Anne J. Greer; Hugh Mullane,sustain,,family-based,son,,male
,2018-02-16,Honduras,Anne J. Greer,remand,,,,,male
,2018-11-19,Indonesia,Aaron R. Petty,remand,,,,,female
asylum,2018-11-06,El Salvador,Charles Adkins-Blanch; Joan B. Geller; Edward F. Kelly,remand,,,,,female
,2017-06-08,Mexico,Ellen Liebowitz,dismiss,,family-based,child,,female
,2018-03-20,Lebanon,Edward F. Kelly; Keith E. Hunsucker,grant,,,,,male
,2018-10-01,,Charles Adkins-Blanch; Ana Landazabal Mann,sustain,,,,,male
,2018-10-01,Italy,Joan B. Geller; Garry D. Malphrus; Hugh Mullane,remand,,,,,female
,2018-01-10,Colombia,Garry D. Malphrus,grant,,,,,male
,2018-03-01,,Edward R. Grant,remand,nationality,,,,female
,2018-02-22,,Ellen Liebowitz; Garry D. Malphrus,terminate,,,,,male
,2018-02-27,Mexico,Blair O'Connor,sustain,,family-based,family; parent; child,,male
,2018-12-07,Mexico,Charles Adkins-Blanch,remand,,family-based,daughter,,female
,2018-10-12,Mexico,Charles Adkins-Blanch; Ana Landazabal Mann,sustain,,family-based,child,,male
,2018-08-14,Gambia,Anne J. Greer,remand,political,family-based,child; daughter,,male
,2018-10-12,Mexico,Charles Adkins-Blanch,sustain,,,,,male
,2018-02-15,Mexico,Charles Adkins-Blanch,remand,,family-based,child; wife,,male
,2018-10-26,Mexico,Anne J. Greer,remand,,family-based,child,,male
,2018-12-03,,Edward R. Grant,remand,,,,,male
,2018-02-05,El Salvador,Anne J. Greer,remand,,,,,female
,2018-02-12,,Ana Landazabal Mann,sustain,,,,,unkown
,2018-07-16,,Charles Adkins-Blanch,terminate,,,,,male
,2018-08-22,Honduras,Ana Landazabal Mann; Gabriel Gonzalez; Edward F. Kelly,remand,,,,,male
asylum; withholding_of_removal; CAT,2018-09-24,Mexico,Anne J. Greer; Edward R. Grant,sustain,,,,,male
,2018-01-16,Kenya,Michael J. Creppy,dismiss,,family-based,child; parent,,female
,2018-11-08,,Anne J. Greer,,,,,,male
asylum; withholding_of_removal; CAT,2018-10-24,Mexico,Charles Adkins-Blanch; Joan B. Geller,remand,,,,,female
,2018-01-09,,Ellen Liebowitz; Hugh Mullane; Michael J. Creppy; Philip J. Montante Jr.,,nationality,family-based,child,,female
CAT,2018-05-10,Mexico,Charles Adkins-Blanch,sustain,,,,,male
,2018-10-09,Mexico,Charles Adkins-Blanch; Ana Landazabal Mann,dismiss,,,,,male
,2017-09-20,Mexico,Charles Adkins-Blanch; Ana Landazabal Mann,remand,,family-based,child; parent; family,,male
,2018-12-19,El Salvador,Edward R. Grant,grant,,,,,male
,2018-08-22,,Edward F. Kelly,dismiss,,,,,male
,2018-04-03,,Ana Landazabal Mann,remand,,,,,male
asylum; withholding_of_removal; CAT,2018-03-14,El Salvador,Anne J. Greer,remand,nationality; religion; social; race; political,gang-based,gang,,female
,2018-11-09,Mexico,Ana Landazabal Mann; Edward F. Kelly,remand,,,,,male
asylum; withholding_of_removal; CAT,2018-08-03,Honduras,Blair O'Connor; Philip J. Montante Jr.,remand,,,,,male
,2018-09-14,Mexico,Charles Adkins-Blanch; Edward F. Kelly,sustain,,,,,male
,2018-11-01,Mexico,Edward R. Grant,terminate,,,,,female
asylum; withholding_of_removal; CAT,2018-05-16,Honduras,Anne J. Greer,remand,social,family-based,son; wife,,male
,2018-11-08,Mexico,Charles Adkins-Blanch,remand,,,,,male
,2018-05-24,Mexico,Edward F. Kelly,remand,,family-based,child; parent,,male
,2018-09-24,China,Charles Adkins-Blanch; Edward F. Kelly,remand,,,,,female
,2018-11-02,Mexico,Michael J. Creppy; Garry D. Malphrus; Hugh Mullane,sustain,,,,,male
,2018-10-29,Honduras,Edward F. Kelly; Joan B. Geller,remand,,,,,female
withholding_of_removal; CAT,2018-12-27,,Edward R. Grant,remand,,,,,male
,2018-01-12,Mexico,Anne J. Greer,remand,,,,,male
,2018-10-04,Mexico,Blair O'Connor,remand,nationality,gang-based,gang,,male
,2018-02-13,Honduras,Edward R. Grant,deny,,,,,male
,2018-01-03,Guatemala,Sirce E. Owen; Gabriel Gonzalez,remand,nationality,,,,female
,2018-06-29,Sweden,Keith E. Hunsucker; Michael J. Creppy; Ellen Liebowitz,remand,nationality,,,,male
,2018-08-23,Jamaica,Ellen Liebowitz; Joan B. Geller; Garry D. Malphrus,remand,,,,,female
,2018-08-01,Mexico,Ellen Liebowitz; Keith E. Hunsucker,remand,,family-based,child; partner; achild,,male
,2018-11-13,Mexico,Anne J. Greer,terminate,political,,,,male
asylum; withholding_of_removal; CAT,2017-08-02,Mexico,Earle B. Wilson; Anne J. Greer,remand,social,family-based,woman,"Matter of AB, 27 I&N Dec. 316 (A.G. 2018)",female
,2018-12-20,Senegal,Edward F. Kelly,remand,,,,,male
,2018-08-31,Mexico,Edward F. Kelly,grant,,,,,male
,2018-12-14,Dominican Republic,Ellen Liebowitz; Hugh Mullane,remand,,,,,male
asylum,2017-10-04,Honduras,Joan B. Geller,remand,,,,,male
,2018-12-10,El Salvador,Joan B. Geller,sustain,nationality,,,,male
,2018-12-17,,Charles Adkins-Blanch; Joan B. Geller,remand,,gang-based,gang,,male
,2018-12-28,Mexico,Charles Adkins-Blanch; Anne J. Greer,sustain,,,,,male
,2018-07-27,Guatemala,Charles Adkins-Blanch,sustain,,,,,male
,2018-01-23,Cuba,Ana Landazabal Mann; Ellen Liebowitz; Hugh Mullane,dismiss,,,,,male
,2018-01-24,Mexico,Anne J. Greer,remand,nationality,family-based,child,,male
,2018-05-18,El Salvador,Charles Adkins-Blanch; Ana Landazabal Mann; Edward R. Grant,deny,,,,,male
,2018-11-02,Mexico,Earle B. Wilson,remand,,family-based,son; child; daughter,,male
,2018-07-18,Iraq,Charles Adkins-Blanch; Edward F. Kelly,remand,,,,,male
,2018-08-08,Iraq,Ana Landazabal Mann; Joan B. Geller,sustain,,,,,male
,2017-11-22,,Ana Landazabal Mann,grant,,,,,female
,2018-01-12,,Ellen Liebowitz,return,,,,,female
,2014-11-21,Mexico,Michael J. Creppy,terminate,,,,,male
,2018-03-14,Mexico,Ana Landazabal Mann; Anne J. Greer,sustain,,,,,male
,2014-02-21,,Gabriel Gonzalez,grant,,,,,female
,2018-03-05,,Ana Landazabal Mann,grant,,,,,male
,2014-01-17,Mexico,Michael J. Creppy; Garry D. Malphrus; Hugh Mullane,return,,,,,male
asylum; withholding_of_removal; CAT,2018-01-25,Mexico,Anne J. Greer,sustain,social; political,gang-based,gang,,male
CAT,2018-08-31,Iraq,Keith E. Hunsucker; Michael J. Creppy; Garry D. Malphrus,remand,,family-based,wife,"Matter of AB, 27 I&N Dec. 316 (A.G. 2018)",male
,2018-10-04,Colombia,Ellen Liebowitz; Hugh Mullane,remand,,,,,male
,2018-05-30,Mexico,Edward F. Kelly,remand,,,,,male
,2018-03-22,El Salvador,Gabriel Gonzalez,remand,,,,,male
,2014-08-29,Greece,Ellen Liebowitz; Michael J. Creppy; Hugh Mullane,sustain,,,,,female
,2018-10-25,Mexico,Edward R. Grant,remand,,,,,male
,2014-11-28,Mexico,Edward F. Kelly,dismiss,,,,,female
,2017-11-07,Mexico,Charles Adkins-Blanch; Edward F. Kelly; Joan B. Geller,remand,,,,,female
,2018-04-13,Guatemala,Anne J. Greer; Philip J. Montante Jr.,remand,,,,,female
,2014-07-23,Brazil,Charles Adkins-Blanch; Edward F. Kelly,grant,,,,,male
,2018-03-29,,Michael J. Creppy; Hugh Mullane,dismiss,,,,,male
,2018-02-23,Mexico,Gabriel Gonzalez,remand,,,,,male
,2018-02-07,Mexico,Anne J. Greer,remand,,,,,male
,2018-07-06,,Gabriel Gonzalez,remand,,,,,male
,2014-05-02,Jamaica,Anne J. Greer,sustain,,,,,male
,2018-08-02,,Charles Adkins-Blanch; Ana Landazabal Mann; Edward F. Kelly,remand,,,,,male
,2018-12-07,Iraq,Anne J. Greer,remand,,,,,male
,2018-07-19,Mexico,Charles Adkins-Blanch,sustain,,,,,male
,2018-05-04,,Charles Adkins-Blanch,remand,,,,,female
,2014-07-01,Peru,Ana Landazabal Mann; Michael P. Baird,grant,,,,,male
,2018-03-27,El Salvador,Garry D. Malphrus; Hugh Mullane,remand,,,,,male
,2018-11-14,Honduras,Ellen Liebowitz; Garry D. Malphrus,remand,,,,,male
,2014-06-27,Cuba,Ellen Liebowitz; Garry D. Malphrus; Hugh Mullane,sustain,,,,,female
,2017-01-03,Honduras,Charles Adkins-Blanch; Ana Landazabal Mann,sustain,,,,,male
,2018-10-12,,Joan B. Geller,sustain,,,,,male
,2018-05-04,Honduras,Edward F. Kelly,sustain,,,,,female
,2018-02-02,Colombia,Charles Adkins-Blanch; Garry D. Malphrus,deny,nationality,,,,female
,2018-02-05,Mexico,Charles Adkins-Blanch; Ana Landazabal Mann,sustain,social,,,,female
,2018-06-25,,Charles Adkins-Blanch,remand,,,,,male
,2014-07-18,Cambodia,Ana Landazabal Mann; Michael J. Creppy; Hugh Mullane,deny,,,,,male
,2018-11-28,Iraq,Anne J. Greer,sustain,,,,,male
,2018-05-07,South Sudan,Anne J. Greer,deny,,family-based,family,,male
,2014-11-20,Mexico,Charles Adkins-Blanch; Gabriel Gonzalez,deny,,,,,male
,2018-02-22,Jamaica,Anne J. Greer,sustain,,family-based,child,,female
,2014-07-23,Jamaica,Earle B. Wilson; Edward R. Grant,remand,,,,,female
,2018-07-31,India,Charles Adkins-Blanch; Edward F. Kelly,sustain,,,,,male
,2014-06-18,India,Ana Landazabal Mann; Michael J. Creppy,remand,,,,,male
,2014-10-08,Philippines,Anne J. Greer,sustain,,,,,male
,2018-03-30,Mexico,Anne J. Greer,grant,,,,,female
,2014-04-04,,Gabriel Gonzalez,remand,,,,,male
,2018-08-06,Guatemala,Edward F. Kelly,remand,,family-based,child; daughter,,male
,2018-09-13,El Salvador,Charles Adkins-Blanch,remand,,,,,male
,2018-01-11,Nigeria,Blair O'Connor,dismiss,,,,,female
,2018-08-17,Mexico,Anne J. Greer,dismiss,,,,,male
,2018-05-14,Mexico,Ana Landazabal Mann; Blair O'Connor,remand,,,,,female
,2014-05-20,Mexico,Charles Adkins-Blanch,dismiss,,,,,male
,2018-01-18,Mexico,Ana Landazabal Mann; Edward R. Grant,remand,,,,,female
,,Yemen,Ana Landazabal Mann,grant,,,,,male
,2018-10-03,Mexico,Edward F. Kelly,remand,,,,,male
,2018-09-07,Kenya,Michael J. Creppy; Joan B. Geller; Hugh Mullane,remand,,,,,male
,2014-08-21,El Salvador,Charles Adkins-Blanch,dismiss,,,,,male
,2018-06-19,Guatemala,Anne J. Greer,remand,,,,,male
,2018-02-02,Mexico,Gabriel Gonzalez,grant,,,,,male
,2018-08-23,Mexico,Blair O'Connor,remand,,,,,male
,2014-02-14,El Salvador,Ellen Liebowitz; Gabriel Gonzalez,dismiss,,,,,male
,2018-07-10,,Charles Adkins-Blanch,terminate,,,,,male
,2018-09-17,Honduras,Edward F. Kelly; Ana Landazabal Mann,remand,,,,,male
,2014-03-31,Mexico,Edward R. Grant,remand,,,,,female
,2018-02-12,Guatemala,Charles Adkins-Blanch,remand,,,,,male
,2018-06-18,Dominican Republic,Keith E. Hunsucker; Garry D. Malphrus; Hugh Mullane,sustain,,,,,unkown
,2014-01-15,Mexico,Garry D. Malphrus,dismiss,,,,,male
,2018-03-20,Mexico,Ellen Liebowitz; Michael J. Creppy; Hugh Mullane,deny,,,,,male
,2014-03-28,,Edward F. Kelly,dismiss,,family-based,child,,male
,2018-02-13,,Ellen Liebowitz; Garry D. Malphrus,remand,,,,,male
,2014-02-28,Guatemala,Philip J. Montante Jr.,remand,,,,,female
,2014-06-10,Dominican Republic,Charles Adkins-Blanch,remand,,family-based,son; child,,female
asylum; withholding_of_removal; CAT,2018-12-17,Nicaragua,Anne J. Greer,remand,nationality; religion; social; race; political,,,,male
,2018-05-15,China,Charles Adkins-Blanch,deny,nationality,,,,male
,2018-06-29,El Salvador,Blair O'Connor,terminate,,,,,male
,2014-10-30,Honduras,Charles Adkins-Blanch,grant,,,,,female
,2018-10-09,Guatemala,Charles Adkins-Blanch; Edward F. Kelly,sustain,,,,,female
,2018-06-07,El Salvador,Charles Adkins-Blanch; Ana Landazabal Mann,remand,,,,,female
,2014-11-24,Mexico,Charles Adkins-Blanch,remand,,,,,male
,2018-10-17,Mexico,Charles Adkins-Blanch; Joan B. Geller,remand,,,,,male
,2017-12-13,Mexico,Anne J. Greer,dismiss,nationality,,,,female
,2018-11-02,Mexico,Edward R. Grant,dismiss,,,,,male
,2018-11-13,,Ana Landazabal Mann; Edward F. Kelly,sustain,,,,,male
,2018-04-26,India,Gabriel Gonzalez; Ellen Liebowitz; Joan B. Geller; Hugh Mullane,sustain,,,,,female
,2014-03-21,Albania,Anne J. Greer,remand,,,,,male
withholding_of_removal,2018-10-24,Russia,Ellen Liebowitz; Michael J. Creppy; Hugh Mullane,remand,,,,,male
,2018-01-19,,Ellen Liebowitz; Garry D. Malphrus,,nationality,family-based,child,,male
,2018-04-13,Guatemala,Charles Adkins-Blanch; Ana Landazabal Mann,remand,,,,,male
,2014-01-30,Mexico,Charles Adkins-Blanch,return,,,,,male
,2018-01-05,Brazil,Charles Adkins-Blanch; Anne J. Greer; Edward F. Kelly; Hugh Mullane,sustain,,,,,female
,2018-12-14,Philippines,Anne J. Greer,remand,,family-based,wife,,male
,2018-03-15,Guatemala,Anne J. Greer,remand,,family-based,family,,male
,2018-08-07,,Edward R. Grant,terminate,,,,,male
,2018-02-22,,Ana Landazabal Mann,terminate,,,,,male
,2018-12-21,Honduras,Edward F. Kelly,sustain,,,,,male
,2018-01-10,,Ellen Liebowitz; Garry D. Malphrus,terminate,,,,,female
,2014-05-13,Israel,Michael J. Creppy; Gabriel Gonzalez; Garry D. Malphrus,remand,,,,,male
,2014-03-17,Mexico,Anne J. Greer,sustain,,,,,male
,2018-10-22,Uruguay,Ellen Liebowitz; Garry D. Malphrus; Hugh Mullane,terminate,,,,,female
,2014-08-07,El Salvador,Edward R. Grant,,,,,,female
asylum; withholding_of_removal; CAT,2018-12-11,Mexico,Blair O'Connor; Anne J. Greer,remand,social,family-based; gang-based,child; partner; woman; gang,"Matter of AB, 27 I&N Dec. 316 (A.G. 2018)",female
,2018-10-05,Guatemala,Charles Adkins-Blanch,remand,,,,,male
,2014-02-21,Vietnam,Earle B. Wilson,remand,,,,,female
