application,date,country_of_origin,panel_members,outcome,protected_grounds,based_violence,keywords,references,sex_of_applicant
,2017-03-09,Honduras,Charles Adkins-Blanch; Anne J. Greer,remand,,,,,male
,2017-10-12,Pakistan,Blair O'Connor,sustain,,family-based,family,,male
,2017-12-20,Mexico,Charles Adkins-Blanch; Garry D. Malphrus; Hugh Mullane,dismiss,nationality,,,,male
,2017-08-02,China,Edward F. Kelly,terminate,,,,,male
,2017-12-29,Mexico,Anne J. Greer; Garry D. Malphrus,remand,,,,,male
,2017-06-29,Mexico,Blair O'Connor; Gabriel Gonzalez,remand,,family-based,wife,,male
,2017-09-27,El Salvador,Charles Adkins-Blanch; Edward F. Kelly,sustain,,,,,female
CAT,2017-03-29,Ethiopia,Michael J. Creppy; Garry D. Malphrus; Hugh Mullane,,,,,,female
,2017-07-25,Mexico,Anne J. Greer,sustain,,,,,male
,2016-06-29,,Blair O'Connor,dismiss,nationality,family-based,family; child; parent,,male
,2017-04-26,India,Edward F. Kelly,remand,,family-based,child,,male
,2017-12-04,Mexico,Edward F. Kelly,remand,,,,,male
,2017-06-09,Brazil,Anne J. Greer,deny,,,,,female
,2017-09-25,India,Ana Landazabal Mann,return,,,,,male
,2017-06-08,China,Blair O'Connor,grant,,,,,male
,2017-10-30,Mexico,Edward F. Kelly,remand,,,,,male
,2017-10-25,,Blair O'Connor,deny,,family-based,child,,male
,2017-11-28,Azerbaijan,Charles Adkins-Blanch,return,,,,,female
,2017-03-16,Mexico,Ellen Liebowitz,remand,,,,,female
,2017-12-18,,Charles Adkins-Blanch,grant,,,,,unkown
,2016-10-31,Mexico,Hugh Mullane,dismiss,,,,,male
,2017-06-29,Mexico,Edward R. Grant,,,,,,male
,2017-03-06,Guatemala,Charles Adkins-Blanch; Edward R. Grant; Gabriel Gonzalez,remand,,,,,male
,2017-11-06,El Salvador,Charles Adkins-Blanch; Edward F. Kelly,remand,,,,,male
,2017-09-13,Iran,Edward F. Kelly; Anne J. Greer,remand,,,,,female
,2017-07-05,Vietnam,Anne J. Greer,sustain,,,,,male
,2017-10-23,Ecuador,Charles Adkins-Blanch; Edward F. Kelly,grant,,,,,male
,2017-05-24,Mexico,Charles Adkins-Blanch; Ana Landazabal Mann,deny,,,,,male
,2017-06-16,Brazil,Anne J. Greer,remand,,,,,male
,2017-07-10,El Salvador,Edward F. Kelly,deny,,,,,female
CAT,2017-05-03,Mexico,Edward F. Kelly,remand,nationality,,,,female
,2017-03-09,Mexico,Garry D. Malphrus,sustain,,,,,female
,2017-03-10,Mexico,Ellen Liebowitz; Michael J. Creppy; Hugh Mullane,remand,,,,,male
,2017-01-26,Ethiopia,Anne J. Greer,dismiss,,,,,male
,2017-09-21,,Anne J. Greer,terminate,,,,,male
,2017-07-18,Germany,Edward F. Kelly; Anne J. Greer,remand,,,,,male
,2017-05-10,Mexico,Ana Landazabal Mann,remand,,,,,male
,2017-01-05,China,Charles Adkins-Blanch; Ana Landazabal Mann,deny,,,,,male
,2017-04-24,Haiti,Anne J. Greer,sustain,,family-based,child,,male
,2017-02-15,Georgia,Charles Adkins-Blanch; Ana Landazabal Mann,remand,,,,,male
,2016-11-15,,Edward F. Kelly; Anne J. Greer,remand,,,,,male
,2017-06-02,,Ellen Liebowitz,remand,,,,,male
,2017-03-08,El Salvador,Anne J. Greer,grant,nationality,family-based,parent,,male
withholding_of_removal,2017-11-13,Guatemala,Ellen Liebowitz; Michael J. Creppy; Hugh Mullane,sustain,,,,,male
,2017-06-19,China,Charles Adkins-Blanch; Garry D. Malphrus,sustain,,,,,female
,2017-09-13,Honduras,Anne J. Greer,deny,,,,,female
,2017-02-16,Ghana,Ana Landazabal Mann,terminate,,,,,male
,2017-12-07,,Ellen Liebowitz,,,,,,male
,2017-08-09,,Ana Landazabal Mann; Edward R. Grant,remand,,,,,female
,2017-02-14,Jamaica,Charles Adkins-Blanch; Ana Landazabal Mann,sustain,,,,,male
,2017-04-28,Mexico,Anne J. Greer; Hugh Mullane,remand,nationality,,,,male
,2017-12-14,Germany,Garry D. Malphrus; Hugh Mullane,sustain,,,,,female
,2017-06-15,Mexico,Blair O'Connor,remand,,,,,male
,2017-08-17,India,Charles Adkins-Blanch; Anne J. Greer; Garry D. Malphrus; Philip J. Montante Jr.,sustain,nationality,,,,male
,2017-01-30,Liberia,Michael J. Creppy; Hugh Mullane,sustain,,,,,male
,2017-07-25,Mexico,Ana Landazabal Mann,remand,,,,,male
,2017-07-19,Guatemala,Ana Landazabal Mann; Edward F. Kelly,deny,,,,,male
,2017-09-25,India,Charles Adkins-Blanch; Ana Landazabal Mann; Edward R. Grant,deny,,,,,male
withholding_of_removal; CAT,2017-04-26,India,Ellen Liebowitz; Michael J. Creppy; Hugh Mullane,sustain,,,,,male
,2017-03-17,Honduras,Charles Adkins-Blanch; Edward R. Grant; Edward F. Kelly,grant,,,,,male
,2017-12-14,,Gabriel Gonzalez,grant,,family-based,child,,male
,2017-08-14,Mexico,Gabriel Gonzalez,sustain,,,,,male
,2016-08-23,Guatemala,Charles Adkins-Blanch; Ana Landazabal Mann; Edward F. Kelly,remand,,,,,female
,2017-10-31,Honduras,Edward F. Kelly,grant,,,,,female
withholding_of_removal; CAT,2017-11-17,Chile,Edward F. Kelly; Blair O'Connor,sustain,,,,,male
,2017-12-20,Honduras,Edward F. Kelly; Gabriel Gonzalez,deny,,,,,female
,2017-02-02,Palau,Garry D. Malphrus,sustain,,,,,male
,2017-11-02,El Salvador,Garry D. Malphrus; Hugh Mullane,remand,,,,,female
,2017-08-31,Guatemala,Edward F. Kelly; Anne J. Greer; Gabriel Gonzalez,sustain,,,,,male
,2017-12-21,,Ellen Liebowitz,sustain,,,,,female
,2017-01-03,Vietnam,Charles Adkins-Blanch; Ana Landazabal Mann; Blair O'Connor,remand,,,,,male
withholding_of_removal; CAT,2017-12-21,Mali,Charles Adkins-Blanch; Edward R. Grant,remand,,family-based,child; family; wife; daughter,,male
,2017-01-04,,Anne J. Greer,terminate,,family-based,child,,male
,2017-12-13,,Philip J. Montante Jr.,remand,nationality,,,,male
,2017-03-15,Honduras,Anne J. Greer,remand,nationality,family-based,parent,,female
,2017-11-21,Philippines,Charles Adkins-Blanch; Edward F. Kelly; Ana Landazabal Mann,sustain,,,,,female
,2017-03-07,Mexico,Garry D. Malphrus,deny,,,,,male
,2017-04-21,,Ellen Liebowitz; Gabriel Gonzalez,,,,,,male
,2017-07-18,Argentina,Blair O'Connor; Anne J. Greer,grant,,,,,female
,2017-03-28,Georgia,Hugh Mullane,sustain,,,,,male
,2017-03-30,Georgia,Charles Adkins-Blanch; Ana Landazabal Mann,remand,,,,,male
,2017-01-27,Honduras,Ana Landazabal Mann; Blair O'Connor,deny,,,,,female
,2017-10-26,,Charles Adkins-Blanch,deny,,,,,female
,2017-12-08,Ecuador,Charles Adkins-Blanch; Garry D. Malphrus; Hugh Mullane,sustain,,,,,male
,2017-05-17,Mexico,Charles Adkins-Blanch; Edward R. Grant,remand,,,,,male
,2017-05-16,Vietnam,Gabriel Gonzalez,remand,,,,,male
,2017-07-12,Mexico,Charles Adkins-Blanch,return,,family-based,child,,male
,2017-12-06,Jamaica,Michael J. Creppy; Hugh Mullane,sustain,nationality,,,,male
,2017-08-30,Mexico,Charles Adkins-Blanch; Edward F. Kelly; Ana Landazabal Mann,remand,,,,,male
,2017-01-27,Mexico,Ellen Liebowitz,remand,,,,,male
,2015-10-14,Honduras,Edward F. Kelly; Ana Landazabal Mann,grant,,,,,female
,2004-10-19,El Salvador,Charles Adkins-Blanch; Ana Landazabal Mann,return,,,,,female
,2016-04-14,Canada,Charles Adkins-Blanch; Ana Landazabal Mann; Edward R. Grant,remand,,,,,male
,2017-11-16,El Salvador,Charles Adkins-Blanch; Edward F. Kelly,grant,,,,,male
,2017-12-04,Mexico,Ana Landazabal Mann,remand,,,,,male
,2017-03-21,Mexico,Anne J. Greer,dismiss,,,,,male
,2017-05-15,Mexico,Ellen Liebowitz; Garry D. Malphrus,sustain,,,,,male
,2017-11-07,,Ellen Liebowitz,remand,,,,,unkown
,2017-12-01,Dominican Republic,Ellen Liebowitz; Hugh Mullane,deny,,,,,male
,2017-05-12,Guatemala,Ana Landazabal Mann; Gabriel Gonzalez; Edward F. Kelly,return,,,,,female
,2017-07-05,Honduras,Charles Adkins-Blanch; Ana Landazabal Mann; V. Stuart Couch; Edward F. Kelly,deny,,,,,male
,2017-01-18,Ghana,Charles Adkins-Blanch; Ana Landazabal Mann; Edward R. Grant,return,,,,,male
,2017-04-28,Mexico,Ellen Liebowitz,remand,,,,,male
,2017-01-06,Brazil,Charles Adkins-Blanch; Ana Landazabal Mann; Gabriel Gonzalez; Blair O'Connor,return,,,,,male
,2017-06-22,,Garry D. Malphrus,sustain,,,,,unkown
,2017-02-07,Jamaica,Garry D. Malphrus,remand,,,,,male
,2017-05-26,Honduras,Anne J. Greer,remand,,,,,female
,2017-11-13,Cuba,Charles Adkins-Blanch; Edward F. Kelly,sustain,,family-based,child; achild,,male
,2017-06-27,Jamaica,Blair O'Connor,sustain,,,,,male
,2017-02-13,El Salvador,Charles Adkins-Blanch,sustain,,,,,male
,2017-06-21,Armenia,Ellen Liebowitz; Michael J. Creppy; Hugh Mullane,remand,,,,,female
,2017-09-18,Peru,Charles Adkins-Blanch; Edward F. Kelly,terminate,,,,,female
,2017-10-06,Vietnam,Anne J. Greer,sustain,,,,,male
,2017-02-03,Mexico,Michael J. Creppy,deny,,,,,male
,2016-07-15,Guatemala,Blair O'Connor; Gabriel Gonzalez,sustain,nationality,family-based,child,,male
,2017-07-26,,Anne J. Greer,remand,,,,,male
,2017-12-20,Honduras,Charles Adkins-Blanch; Ana Landazabal Mann; Edward R. Grant,grant,,,,,female
,2017-05-15,,Charles Adkins-Blanch; Ana Landazabal Mann,remand,,,,,male
,2017-11-21,Mexico,Anne J. Greer; Garry D. Malphrus; Hugh Mullane,deny,,,,,male
,2017-03-15,Guatemala,Ellen Liebowitz,terminate,,,,,female
,2017-12-20,,Ellen Liebowitz; Michael J. Creppy; Hugh Mullane,,nationality,family-based,child,,unkown
,2017-11-21,Mexico,Charles Adkins-Blanch; Edward F. Kelly,sustain,,,,,female
,2017-11-13,El Salvador,Garry D. Malphrus,remand,,,,,male
,2017-01-30,,Garry D. Malphrus,,,family-based,child,,male
,2017-05-19,Moldova,Ana Landazabal Mann; Anne J. Greer,remand,,family-based,child,,female
,2017-07-10,Guatemala,Charles Adkins-Blanch,terminate,nationality,family-based,parent,,male
,2017-02-27,Mexico,Ana Landazabal Mann; Edward F. Kelly,sustain,,,,,male
,2017-09-29,Jamaica,Edward F. Kelly; Anne J. Greer,,,,,,male
,2017-10-24,Albania,Edward F. Kelly; Anne J. Greer,grant,nationality,,,,male
,2017-05-17,Bangladesh,Anne J. Greer,grant,,family-based,son; daughter,,male
,2017-10-06,Colombia,Edward F. Kelly,deny,,,,,male
,2017-04-26,Kenya,Ellen Liebowitz; Hugh Mullane,remand,,,,,female
,2016-10-17,Jamaica,Joan B. Geller,remand,,,,,male
,2016-07-06,,Charles Adkins-Blanch; Ana Landazabal Mann,sustain,,,,,male
,2016-05-04,Mexico,Ana Landazabal Mann; Edward R. Grant,return,,,,,male
,2016-05-13,Armenia,Joan B. Geller,deny,,,,,male
,2016-11-28,Mexico,Joan B. Geller,remand,,,,,male
,2016-07-28,Honduras,Ana Landazabal Mann,grant,nationality,,,,male
,2016-08-18,Mexico,Blair O'Connor,return,,,,,male
